Genus
Daedaleopsis
Daldinia
Darksidea
Dasyscyphella
Davidhawksworthia
Debaryomyces
Deconica
Dekkera
Delastria
Delicatula
Dematiopleospora
Dendryphion
Deniquelata
Dermatocarpon
Dermocybe
Dermoloma
Derxomyces
Descolea
Descomyces
Desmazierella
Devriesia
Diaporthe
Diatrype
Diatrypella
Dichostereum
Dichotomopilus
Dictyochaeta
Dictyosporium
Didymella
Didymocrea
Didymosphaeria
Dinemasporium
Dingleya
Dioszegia
Diplodia
Diplogelasinospora
Diploschistes
Dipodascus
Dirina
Disciseda
Discosia
Distoseptispora
Donadinia
Dothidea
Dothiora
Dothiorella
Dothistroma
Drechslera
Echinoderma
Ectophoma
Edenia
Elaphomyces
Elasticomyces
Eleutherascus
Elsinoe
Endocarpon
Endoconidioma
Endomelanconiopsis
Engyodontium
Entoloma
Entyloma
Eocronartium
Epichloe
Epicoccum
Epithamnolia
Epulorhiza
Erysiphe
Erythricium
Erythrobasidium
Escovopsis
Eucasphaeria
Eutypa
Eutypella
Exidia
Exobasidium
Exophiala
Exserohilum
Extremus
Falciformispora
Fayodia
Fibroporia
Fibulochlamys
Filobasidiella
Filobasidium
Fimetariella
Flagelloscypha
Flagellospora
Flammulaster
Flammulina
Flavoplaca
Floccularia
Fomes
Fomitiporella
Fomitiporia
Fomitopsis
Fonsecaea
Fontanospora
Forliomyces
Fulvifomes
Fusarium
Fuscopannaria
Fuscoporia
Fusculina
Fusicladium
Fusicolla
Gaeumannomyces
Galactomyces
Galerina
Gamsia
Ganoderma
Gautieria
Geastrum
Geesterania
Gelasinospora
Geminibasidium
Genabea
Genea
Genolevuria
Geoglossum
Geomyces
Geopora
Geopyxis
Geosmithia
Geotrichum
Gerronema
Gibberella
Gibellulopsis
Glaciozyma
Glarea
Gliocephalotrichum
Gliocladiopsis
Gliomastix
Gliophorus
Gloeophyllum
Gloeoporus
Gloiothele
Glomerella
Glutinoglossum
Glutinomyces
Gnomoniopsis
Goffeauzyma
Golovinomyces
Gomphidius
Gonytrichum
Gorgomyces
Gorgoniceps
Graphilbum
Graphium
Grosmannia
Guignardia
Gyalolechia
Gymnascella
Gymnoascus
Gymnomyces
Gymnopilus
Gymnopus
Gymnostellatospora
Gyrodontium
Gyromitra
Gyroporus
Gyrothrix
Halenospora
Hamatocanthoscypha
Hannaella
Hanseniaspora
Harknessia
Hawksworthiomyces
Hazslinszkyomyces
Hebeloma
Helgardia
Helicodendron
Helicoma
Helicosporium
Helminthosporium
Helvella
Helvellosebacina
Hemileucoglossum
Hemimycena
Hericium
Herpotrichia
Heterobasidion
Heterocephalacria
Heterodermia
Heterophoma
Heydenia
Hirsutella
Histoplasma
Hodophilus
Hohenbuehelia
Holtermanniella
Hormonema
Hortaea
Hortiboletus
Humaria
Humicola
Humidicutis
Hyalodendriella
Hyalopeziza
Hyalorbilia
Hyaloscypha
Hydnangium
Hydnellum
Hydnobolites
Hydnocystis
Hydnoplicata
Hydnotrya
Hydnum
Hydropisphaera
Hydropus
Hygrocybe
Hygrophoropsis
Hygrophorus
Hymenochaete
Hymenogaster
Hymenopellis
Hymenoscyphus
Hyphoderma
Hyphodermella
Hyphodiscus
Hyphodontia
Hyphodontiella
Hypholoma
Hyphopichia
Hypochnicium
Hypogymnia
Hypomyces
Hypotrachyna
Hypoxylon
Hypsizygus
Hysterangium
Idriella
Ilyonectria
Imleria
Immersiella
Incertomyces
Infundibulicybe
Infundichalara
Inocybe
Inonotus
Inosperma
Iodophanus
Irpex
Isaria
Issatchenkia
Itersonilia
Jaapia
Jahnula
Juncaceicola
Junghuhnia
Kalmusia
Kavinia
Kazachstania
Keissleriella
Keithomyces
Kernia
Kiflimonium
Kluyveromyces
Knufia
Kockovaella
Kodamaea
Krasilnikovozyma
Kretzschmaria
Kuehneromyces
Kurtzmaniella
Kurtzmanomyces
Kwoniella
Laburnicola
Laccaria
Lachancea
Lachnellula
Lachnum
Lactarius
Lactifluus
Laetinaevia
Laetiporus
Laetisaria
Lambertella
Lamprospora
Lanzia
Lapidomyces
Lasiobolidium
Lasiodiplodia
Lasionectria
Lasiosphaeria
Lasiosphaeris
Latorua
Lauriomyces
Lecania
Lecanicillium
Lecanora
Leccinum
Lecidea
Lecidella
Lectera
Lecythophora
Lemonniera
Lentaria
Lentinellus
Lentinula
Lentinus
Lentithecium
Leotia
Lepidosphaeria
Lepiota
Lepista
Lepraria
Leptobacillium
Leptodontidium
Leptogium
Leptographium
Leptosphaeria
Leptosphaerulina
Leptosporomyces
Leptoxyphium
Letendraea
Letharia
Leucoagaricus
Leucocoprinus
Leucogaster
Leuconeurospora
Leucopaxillus
Leucophleps
Leucosporidium
Leucostoma
Leucothecium
Leveillula
Lichenomphalia
Limacella
Limonomyces
Lindtneria
Lipomyces
Litschauerella
Lobaria
Lopadostoma
Lophiostoma
Lophiotrema
Lophium
Lophodermium
Loweporus
Luellia
Luteoamylascus
Lycoperdon
Lyomyces
Lyophyllum
Macalpinomyces
Macowanites
Macrocybe
Macrolepiota
Macrophomina
Macrotyphula
Macroventuria
Magnaporthiopsis
Magnohelicospora
Malassezia
Malbranchea
Mallocybe
Mammaria
Marasmiellus
Marasmius
Marcelleina
Marchandiobasidium
Mariannaea
Marquandomyces
Massarina
Mastigobasidium
Matsushimamyces
Megacollybia
Megasporoporia
Melampsora
Melampsoridium
Melanconiella
Melanelixia
Melanogaster
Melanohalea
Melanoleuca
Melanophyllum
Meliniomyces
Membranomyces
Memnoniella
Menispora
Menisporopsis
Meristemomyces
Mesophellia
Metacordyceps
Metapochonia
Metarhizium
Metschnikowia
Meyerozyma
Micarea
Microascus
Microbotryum
Microdiplodia
Microdochium
Microglossum
Microporus
Micropsalliota
Microscypha
Microsphaeropsis
Microsporum
Minimedusa
Minimelanolocus
Minutisphaera
Moesziomyces
Mollisia
Monacrosporium
Monilinia
Moniliophthora
Monochaetia
Monocillium
Monographella
Monosporascus
Montagnula
Montanelia
Morchella
Mrakia
Muriphaeosphaeria
Murispora
Muscodor
Mutinus
Mycena
Mycenastrum
Mycenella
Mycetinis
Mycoacia
Mycocentrospora
Mycochlamys
Mycoleptodiscus
Mycosphaerella
Mycosymbioces
Mycothermus
Myriococcum
Myriostoma
Myrmecocystis
Myrmecridium
Myrothecium
Mytilinidion
Myxarium
Myxozyma
Naevala
Naganishia
Nais
Nakaseomyces
Nakazawaea
Nannizzia
Naucoria
Nectria
Nectriella
Nectriopsis
Nemania
Nematoctonus
Neoanthostomella
Neoantrodia
Neoascochyta
Neoboletus
Neobulgaria
Neocamarosporium
Neocatenulostroma
Neocosmospora
Neocucurbitaria
Neodevriesia
Neodidymelliopsis
Neofabraea
Neofusicoccum
Neomicrosphaeropsis
Neonectria
Neopaxillus
Neopestalotiopsis
Neopseudocercosporella
Neopyrenochaeta
Neosartorya
Neoscytalidium
Neosetophoma
Neospadicoides
Neottiella
Nephroma
Neurospora
Nidulariopsis
Niesslia
Nigrograna
Nigrospora
Nodulisporium
Nothodactylaria
Nothophoma
Occultifur
Ochroconis
Ochrolechia
Octaviania
Octospora
Odontia
Oedocephalum
Ogataea
Oidiodendron
Omphalotus
Oomyces
Ophiocordyceps
Ophiognomonia
Ophiosphaerella
Ophiostoma
Orbilia
Otidea
Oudemansiella
Ovatospora
Oxyporus
Pachyphlodes
Paecilomyces
Pallidocercospora
Panaeolus
Panellus
Panus
Papiliotrema
Paraboeremia
Paracamarosporium
Paraconiothyrium
Paracremonium
Paragibellulopsis
Paralepista
Paramycosphaerella
Paramyrothecium
Paraphaeosphaeria
Paraphoma
Parasarocladium
Parasola
Parastagonospora
Parengyodontium
Parmelia
Parmelina
Parmotrema
Passalora
Paulisebacina
Paxillus
Pectenia
Peltigera
Penicillifer
Penicilliopsis
Penicillium
Peniophora
Peniophorella
Perenniporia
Periconia
Peroneutypa
Pertusaria
Perusta
Pestalotia
Pestalotiopsis
Petrakia
Petriella
Peyronellaea
Pezicula
Peziza
Pezizella
Pezizellaster
Pezoloma
Phacidiopycnis
Phacidium
Phaeoacremonium
Phaeoclavulina
Phaeococcomyces
Phaeocollybia
Phaeohelotium
Phaeoisaria
Phaeomoniella
Phaeophleospora
Phaeophyscia
Phaeosphaeria
Phaeosphaeriopsis
Phaeotheca
Phaeotremella
Phakopsora
Phallus
Phanerochaete
Phellinus
Phellodon
Phenoliferia
Phialea
Phialemonium
Phialocephala
Phialomyces
Phialophora
Phlebia
Phlebiopsis
Phlebopus
Phlegmacium
Pholiota
Pholiotina
Phoma
Phomatodes
Phomatospora
Phomopsis
Phyllachora
Phyllactinia
Phylliscum
Phylloporus
Phyllopsora
Phyllosticta
Physcia
Physconia
Physisporinus
Pichia
Picoa
Pilidium
Piloderma
Piskurozyma
Pisolithus
Pithoascus
Pithomyces
Pithya
Placynthiella
Plagiostoma
Platystomum
Plectania
Plectosphaerella
Pleiocarpon
Plenodomus
Pleospora
Pleotrichocladium
Pleuroascus
Pleurostoma
Pleurotheciella
Pleurotus
Plicaria
Pluteus
Pneumocystis
Poaceascoma
Pochonia
Podoscypha
Podosphaera
Podospora
Polycauliona
Polycephalomyces
Polyozellus
Polyphilus
Polyporus
Polyscytalum
Polysporina
Porodaedalea
Porosphaerella
Porotheleum
Porpidia
Porpoloma
Postia
Preussia
Pringsheimia
Protodontia
Protomerulius
Protomyces
Protoparmelia
Protoparmeliopsis
Psathyloma
Psathyrella
Pseudaleuria
Pseudallescheria
Pseudephebe
Pseudeurotium
Pseudoanungitea
Pseudocamarosporium
Pseudocercospora
Pseudocercosporella
Pseudoclathrosphaerina
Pseudoclitocybe
Pseudocoleophoma
Pseudocosmospora
Pseudocraterellus
Pseudocyphellaria
Pseudodactylaria
Pseudofusicoccum
Pseudogymnoascus
Pseudohelicomyces
Pseudohydnum
Pseudoophiobolus
Pseudopestalotiopsis
Pseudophialophora
Pseudopithomyces
Pseudoplectania
Pseudosigmoidea
Pseudosperma
Pseudoteratosphaeria
Pseudothielavia
Pseudotomentella
Pseudotricholoma
Pseudozyma
Psilocybe
Psora
Psoroma
Psychronectria
Pterula
Puccinia
Pucciniastrum
Pulveroboletus
Pulvinula
Punctelia
Purpureocillium
Pustularia
Pycnopeziza
Pycnora
Pyrenochaeta
Pyrenochaetopsis
Pyrenophora
Pyrenula
Pyricularia
Pyronema
Quambalaria
Rachicladosporium
Radulomyces
Ramalina
Ramaria
Ramariopsis
Ramgea
Ramichloridium
Ramimonilia
Ramophialophora
Ramularia
Rasamsonia
Readeriella
Readerielliopsis
Rectipilus
Reddellomyces
Remotididymella
Resinicium
Reticulascus
Rhinocladiella
Rhizocarpon
Rhizoctonia
Rhizocybe
Rhizodermea
Rhizoplaca
Rhizopogon
Rhizoscyphus
Rhodocollybia
Rhodocybe
Rhodoscypha
Rhodosporidiobolus
Rhodotorula
Rhynchogastrema
Rhynchosporium
Rhytidhysteron
Rickenella
Rigidoporus
Rinodina
Ripartites
Robillarda
Roccella
Rosellinia
Roussoella
Rugosomyces
Ruhlandiella
Russula
Rutstroemia
Sabuloglossum
Saccharomyces
Saccharomycopsis
Sagenomella
Saitozyma
Sakaguchia
Samsoniella
Sanghuangporus
Saproamanita
Sarcodon
Sarcoleotia
Sarcoscypha
Sarcostroma
Sarea
Saturnispora
Sawadaea
Scabropezia
Scedosporium
Scheffersomyces
Schizophyllum
Schizothecium
Schwanniomyces
Sclerococcum
Scleroconidioma
Scleroderma
Sclerogaster
Scleropezicula
Sclerostagonospora
Sclerotinia
Scolecobasidium
Scopulariopsis
Scopuloides
Scutellinia
Scytalidium
Scytinopogon
Scytinostroma
Sebacina
Seimatosporium
Seiridium
Sepedonium
Septomyrothecium
Septoria
Septoriella
Sepultariella
Serendipita
Serpula
Setchelliogaster
Setophaeosphaeria
Setophoma
Sidera
Sigarispora
Simocybe
Simplicillium
Sirastachys
Sistotrema
Skeletocutis
Slopeiomyces
Sodiomyces
Solenopsora
Solicoccozyma
Sordaria
Sorocybe
Spadicoides
Sparassis
Sparticola
Spathaspora
Spathularia
Spegazzinia
Spencermartinsiella
Sphaerobolus
Sphaerographium
Sphaeropsis
Sphaerosporella
Sphaerostilbella
Sphaerulina
Spirosphaera
Sporidesmiella
Sporidiobolus
Sporisorium
Sporobolomyces
Sporormia
Sporormiella
Sporothrix
Stachybotrys
Stagonospora
Stagonosporopsis
Steccherinum
Stemphylium
Stephanonectria
Stephanospora
Stereocaulon
Stereum
Sterigmatomyces
Sticta
Strelitziana
Striatibotrys
Striaticonidium
Strobilomyces
Stromatinia
Stromatoneurospora
Stropharia
Stypella
Subplenodomus
Subulicystidium
Sugiyamaella
Suillellus
Suillus
Sydowia
Sympodiella
Sympoventuria
Syzygospora
Taeniolella
Talaromyces
Taphrina
Tarzetta
Tausonia
Teichospora
Tephrocybe
Tephromela
Teratosphaeria
Teratosphaericola
Terfezia
Termitomyces
Tetracladium
Tetragoniomyces
Tetraploa
Tetrapyrgos
Thanatephorus
Thaxterogaster
Thecaphora
Thelebolus
Thelephora
Thelonectria
Thermomyces
Thielavia
Thozetella
Thyridium
Thyronectria
Tilletia
Tinctoporellus
Tolypocladium
Tomentella
Tomentellopsis
Torrendiella
Torula
Torulaspora
Toxicocladosporium
Trametes
Trapelia
Trapeliopsis
Trechispora
Trematosphaeria
Tremella
Tremellodendron
Tremelloscypha
Tretomyces
Triangularia
Tricharina
Trichocladium
Trichoderma
Trichoglossum
Tricholoma
Tricholomopsis
Tricholosporum
Trichophaea
Trichophaeopsis
Trichophyton
Trichosporiella
Trichosporon
Tricladium
Trimmatostroma
Trogia
Tropicoporus
Truncatella
Tubakia
Tubaria
Tuber
Tubeufia
Tubulicium
Tubulicrinis
Tulasnella
Tulostoma
Tumularia
Tygervalleyomyces
Tylopilus
Tylospora
Typhula
Tyrannosorus
Umbilicaria
Urnula
Urocystis
Uromyces
Usnea
Ustilaginoidea
Ustilago
Vaginatispora
Valsa
Vanrija
Vararia
Venturia
Vermiculariopsiella
Veronaea
Veronaeopsis
Verpa
Verrucaria
Verruconis
Verticillium
Virgaria
Viridispora
Vishniacozyma
Volutella
Volvariella
Vuilleminia
Waitea
Wallemia
Wardomyces
Westerdykella
Wickerhamiella
Wickerhamomyces
Wiesneriomyces
Wilcoxina
Wojnowiciella
Xanthoparmelia
Xanthoria
Xenasma
Xenoacremonium
Xenocylindrocladium
Xenodidymella
Xenopolyscytalum
Xepicula
Xerocomellus
Xerocomus
Xeromphalina
Xylaria
Xylodon
Xylomyces
Yamadazyma
Yarrowia
Zasmidium
Zopfiella
Zygopleurage
Zygosaccharomyces
Zymoseptoria
